jahr;stichtag;stadtbezirk_id;stadtbezirk_name;einw_ges;einw_alter_unter1j;einw_alter_1bis_unter3j;einw_alter_3bis_unter5j;einw_alter_5bis_unter6j;einw_alter_6bis_unter10j;einw_alter_10bis_unter14j;einw_alter_14bis_unter15j;einw_alter_15bis_unter18j;einw_alter_18bis_unter21j;einw_alter_21bis_unter25j;einw_alter_25bis_unter30j;einw_alter_30bis_unter40j;einw_alter_40bis_unter45j;einw_alter_45bis_unter60j;einw_alter_60bis_unter65j;einw_alter_65bis_unter70j;einw_alter_70bis_unter75j;einw_alter_75j_u_aelter;durchschnittsalter_in_jahren
2021;20211231;057110000;Mitte;80403;844;1487;1363;633;2457;2401;600;1857;2548;6193;8982;13617;4974;15289;4348;3586;2838;6386;40,8
2021;20211231;057110001;Schildesche;42410;410;756;771;410;1417;1381;340;1058;1409;3070;3770;5825;2397;8260;2480;2196;1752;4708;42,9
2021;20211231;057110002;Gadderbaum;10239;86;168;151;77;295;353;106;271;346;503;680;1318;600;2405;739;596;394;1151;45
2021;20211231;057110003;Brackwede;40814;405;891;824;418;1524;1452;411;1207;1229;1916;2527;5579;2574;8697;2624;2103;1817;4616;43,7
2021;20211231;057110004;Dornberg;19681;169;325;405;193;699;693;179;489;687;1073;1207;2340;1174;4120;1333;1180;1001;2414;44,9
2021;20211231;057110005;Jöllenbeck;23105;229;493;511;243;966;924;227;708;689;954;1147;2710;1390;4990;1645;1347;1209;2723;44,6
2021;20211231;057110006;Heepen;47152;485;1013;1033;523;2010;2137;496;1677;1681;2186;2694;5815;2814;9670;3100;2612;2189;5017;42,9
2021;20211231;057110007;Stieghorst;32292;329;671;722;341;1376;1307;334;1017;1142;1532;2025;4069;1911;6701;2179;1715;1479;3442;43,1
2021;20211231;057110008;Sennestadt;22200;241;502;494;242;973;944;244;778;737;1018;1229;2766;1364;4439;1489;1192;895;2653;43,2
2021;20211231;057110009;Senne;21123;199;418;469;228;834;869;241;641;674;880;1082;2614;1363;4629;1489;1216;940;2337;44
2021;20210630;057110000;Mitte;80225;848;1501;1360;650;2415;2401;604;1818;2430;6191;8817;13727;4941;15394;4297;3562;2805;6464;40,8
2021;20210630;057110001;Schildesche;42161;402;725;794;374;1428;1367;333;1024;1390;3003;3762;5803;2339;8344;2442;2174;1731;4726;43
2021;20210630;057110002;Gadderbaum;10259;97;168;155;52;294;360;106;267;351;514;678;1325;617;2402;728;595;396;1154;45
2021;20210630;057110003;Brackwede;40644;407;871;836;392;1506;1485;372;1225;1245;1937;2504;5498;2561;8666;2593;2107;1787;4652;43,8
2021;20210630;057110004;Dornberg;19589;153;335;402;178;715;695;151;497;638;1085;1168;2367;1160;4113;1362;1148;1015;2407;45
2021;20210630;057110005;Jöllenbeck;23010;225;507;502;227;949;888;235;730;679;958;1160;2724;1342;5030;1619;1309;1217;2709;44,6
2021;20210630;057110006;Heepen;47163;437;1058;1020;513;2047;2100;529;1669;1721;2185;2719;5779;2794;9755;3044;2600;2117;5076;42,8
2021;20210630;057110007;Stieghorst;32209;321;686;728;334;1335;1307;315;1055;1112;1525;1962;4052;1934;6705;2172;1710;1490;3466;43,2
2021;20210630;057110008;Sennestadt;22037;214;511;455;261;971;955;255;769;705;995;1175;2726;1341;4445;1485;1172;866;2736;43,5
2021;20210630;057110009;Senne;21086;201;406;475;233;820;879;228;655;677;867;1094;2620;1344;4649;1464;1220;910;2344;44
2020;20201231;057110000;Mitte;80613;788;1511;1326;664;2398;2441;608;1856;2537;6304;8860;13722;4996;15542;4271;3505;2748;6536;40,8
2020;20201231;057110001;Schildesche;42322;385;745;786;367;1443;1331;367;1002;1451;3143;3768;5718;2381;8408;2392;2119;1683;4833;43
2020;20201231;057110002;Gadderbaum;10300;80;156;159;60;307;374;85;288;336;543;669;1324;608;2465;696;598;381;1171;44,9
2020;20201231;057110003;Brackwede;40621;435;874;854;373;1510;1508;392;1202;1281;1938;2533;5453;2554;8618;2574;2053;1760;4709;43,6
2020;20201231;057110004;Dornberg;19588;139;353;392;193;676;707;147;500;660;1065;1186;2364;1158;4148;1367;1119;984;2430;45
2020;20201231;057110005;Jöllenbeck;22866;244;476;481;224;962;889;229;715;707;940;1146;2669;1323;5074;1611;1277;1179;2720;44,6
2020;20201231;057110006;Heepen;47189;462;1024;1037;490;2051;2083;567;1645;1734;2175;2773;5800;2747;9838;3000;2611;2029;5123;42,8
2020;20201231;057110007;Stieghorst;32332;324;700;698;342;1347;1314;312;1076;1151;1538;1960;4043;1977;6755;2126;1680;1476;3513;43,1
2020;20201231;057110008;Sennestadt;22080;220;497;465;238;953;964;245;769;731;962;1211;2701;1333;4516;1470;1149;846;2810;43,6
2020;20201231;057110009;Senne;21069;195;430;473;225;821;883;206;662;687;857;1132;2622;1336;4665;1431;1225;862;2357;43,9
2020;20200630;057110000;Mitte;81010;795;1549;1392;682;2405;2462;571;1841;2532;6267;8972;13821;4987;15663;4246;3506;2696;6623;40,7
2020;20200630;057110001;Schildesche;42401;379;751;786;343;1504;1338;359;999;1438;3238;3716;5701;2405;8426;2385;2070;1635;4928;42,9
2020;20200630;057110002;Gadderbaum;10327;75;156;141;83;308;374;89;272;363;558;638;1336;604;2481;712;552;388;1197;44,9
2020;20200630;057110003;Brackwede;40776;444;845;868;384;1504;1498;412;1207;1290;1936;2628;5485;2527;8634;2561;2061;1720;4772;43,6
2020;20200630;057110004;Dornberg;19551;160;340;367;194;683;675;165;499;654;1069;1203;2355;1134;4179;1317;1126;951;2480;45
2020;20200630;057110005;Jöllenbeck;22472;219;440;467;219;900;864;261;685;713;936;1136;2557;1278;5097;1611;1244;1089;2756;44,8
2020;20200630;057110006;Heepen;47283;517;984;1013;502;2054;2079;554;1666;1793;2206;2752;5729;2777;9904;2977;2611;1937;5228;42,8
2020;20200630;057110007;Stieghorst;32214;334;663;698;342;1333;1278;340;1075;1143;1509;2033;3987;1935;6781;2101;1663;1398;3601;43,1
2020;20200630;057110008;Sennestadt;22012;234;475;472;238;924;960;231;747;718;979;1239;2698;1273;4519;1490;1119;806;2890;43,7
2020;20200630;057110009;Senne;21100;185;442;467;223;829;878;220;664;717;863;1158;2595;1318;4715;1412;1175;853;2386;43,8
2019;20191231;057110000;Mitte;81456;830;1549;1411;641;2424;2487;603;1833;2719;6471;8955;13784;4987;15783;4217;3458;2654;6650;40,6
2019;20191231;057110001;Schildesche;42543;360;784;781;350;1483;1373;335;1003;1579;3203;3733;5669;2364;8546;2376;2027;1632;4945;42,9
2019;20191231;057110002;Gadderbaum;10371;89;152;135;74;312;369;88;290;373;544;659;1328;613;2504;697;553;375;1216;44,9
2019;20191231;057110003;Brackwede;40753;444;877;809;400;1509;1529;401;1183;1328;1884;2663;5458;2525;8687;2546;2059;1681;4770;43,5
2019;20191231;057110004;Dornberg;19640;154;364;376;165;702;653;171;507;700;1077;1220;2351;1117;4217;1324;1129;927;2486;44,9
2019;20191231;057110005;Jöllenbeck;22413;208;461;418;241;874;864;230;693;717;938;1146;2574;1255;5193;1533;1261;1048;2759;44,8
2019;20191231;057110006;Heepen;47396;464;1008;1013;509;2055;2098;523;1716;1750;2225;2851;5672;2829;9998;2920;2581;1884;5300;42,7
2019;20191231;057110007;Stieghorst;32159;325;685;666;359;1286;1292;358;1084;1154;1487;2028;3976;1915;6849;2045;1667;1357;3626;43,1
2019;20191231;057110008;Sennestadt;21976;243;463;469;249;901;938;265;732;733;959;1247;2672;1288;4556;1442;1100;807;2912;43,8
2019;20191231;057110009;Senne;21135;204;463;448;193;846;888;214;682;710;879;1191;2611;1318;4720;1408;1132;819;2409;43,6
2019;20190630;057110000;Mitte;81570;841;1557;1416;590;2466;2443;640;1815;2713;6376;9016;13873;4986;15954;4131;3481;2611;6661;40,6
2019;20190630;057110001;Schildesche;42333;367;816;738;385;1426;1416;342;1005;1495;3106;3696;5662;2363;8592;2360;2011;1591;4962;42,9
2019;20190630;057110002;Gadderbaum;10362;81;153;134;78;315;356;88;292;369;544;656;1311;622;2517;680;546;390;1230;45
2019;20190630;057110003;Brackwede;40731;415;906;806;401;1496;1534;388;1186;1314;1936;2677;5430;2496;8779;2503;2037;1679;4748;43,5
2019;20190630;057110004;Dornberg;19545;145;361;361;162;692;648;173;499;677;1067;1244;2317;1129;4232;1338;1118;899;2483;45
2019;20190630;057110005;Jöllenbeck;22295;217;432;412;216;868;891;208;693;745;954;1111;2569;1204;5230;1522;1269;1025;2729;44,8
2019;20190630;057110006;Heepen;47353;458;991;1015;486;2054;2090;531;1702;1788;2194;2864;5617;2863;10029;2922;2572;1813;5364;42,8
2019;20190630;057110007;Stieghorst;32225;326;698;667;337;1277;1323;348;1077;1192;1491;2053;3937;1931;6898;2049;1662;1312;3647;43,1
2019;20190630;057110008;Sennestadt;21915;245;426;486;230;885;951;252;727;758;953;1281;2622;1255;4587;1390;1108;810;2949;43,9
2019;20190630;057110009;Senne;21153;211;458;447;193;842;889;208;703;697;881;1179;2615;1329;4765;1403;1104;823;2406;43,6
2018;20181231;057110000;Mitte;81809;801;1553;1398;616;2464;2511;614;1839;2861;6412;9077;13808;5001;16076;4102;3422;2570;6684;40,5
2018;20181231;057110001;Schildesche;42263;398;809;721;376;1427;1397;367;997;1522;3100;3657;5596;2341;8617;2338;2016;1593;4991;42,9
2018;20181231;057110002;Gadderbaum;10342;74;150;135;75;307;367;87;296;406;532;669;1285;657;2487;679;518;393;1225;44,9
2018;20181231;057110003;Brackwede;40646;404;887;783;394;1463;1539;391;1184;1338;1916;2761;5382;2476;8816;2471;2030;1686;4725;43,5
