jahr;stadtbezirk_id;stadtbezirk_name;wanderung_ueber_stadtgrenze_zuzug;wanderung_ueber_stadtgrenze_fortzug;wanderung_ueber_stadtgrenze_saldo;wanderung_innerstaedtisch_zuzug;wanderung_innerstaedtisch_fortzug;wanderung_innerstaedtisch_saldo;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_mitte;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_schildesche;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_gadderbaum;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_brackwede;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_dornberg;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_joellenbeck;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_heepen;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_stieghorst;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_sennestadt;wanderung_innerstaedtisch_saldo_mit_stadtbezirk_senne;raeumliche_bevoelkerungsbewegung_saldo;geburten;sterbefaelle;natuerliche_bevoelkerungsbewegung_saldo
2018;57110002;Gadderbaum;532;384;148;791;840;-49;-6;-20;0;-16;-5;-1;5;8;-1;-13;99;72;132;-60
2018;57110003;Brackwede;1778;1718;60;2484;2393;91;32;23;16;0;11;-10;14;42;-31;-6;151;419;483;-64
2018;57110004;Dornberg;835;797;38;1.162;1.079;83;42;57;5;-11;0;-8;11;-7;-3;-3;121;169;185;-16
2018;57110005;Jöllenbeck;737;685;52;1.286;1.076;210;92;20;1;10;8;0;57;7;13;2;262;204;250;-46
2018;57110006;Heepen;1438;1464;-26;2.927;2.872;55;90;19;-5;-14;-11;-57;0;26;3;4;29;465;527;-62
2018;57110007;Stieghorst;1205;1180;25;1.948;2.069;-121;26;19;-8;-42;7;-7;-26;0;-32;-58;-96;347;348;-1
2018;57110008;Sennestadt;975;830;145;1.380;1.301;79;22;5;1;31;3;-13;-3;32;0;1;224;221;330;-109
2018;57110009;Senne;686;717;-31;1.136;1.000;136;51;12;13;6;3;-2;-4;58;-1;0;105;193;223;-30
2019;57110000;Mitte;9584;9272;312;6899;7763;-864;0;-204;-63;-112;-100;-118;-159;-94;0;-14;-552;903;700;203
2019;57110001;Schildesche;2438;2073;365;3184;3137;47;204;0;-4;-20;-64;-166;54;39;-7;11;412;379;502;-123
2019;57110002;Gadderbaum;532;441;91;846;858;-12;63;4;0;-21;-16;6;-52;18;-4;-10;79;88;142;-54
2019;57110003;Brackwede;1751;1801;-50;2786;2631;155;112;20;21;0;-7;18;8;3;-24;4;105;454;429;25
2019;57110004;Dornberg;807;789;18;1194;997;197;100;64;16;7;0;-12;22;13;8;-21;215;159;190;-31
2019;57110005;Jöllenbeck;662;760;-98;1386;1088;298;118;166;-6;-18;12;0;48;-13;-11;2;200;208;215;-7
2019;57110006;Heepen;1550;1587;-37;2909;2899;10;159;-54;52;-8;-22;-48;0;-26;-9;-34;-27;491;490;1
2019;57110007;Stieghorst;1144;1176;-32;1941;1934;7;94;-39;-18;-3;-13;13;26;0;-28;-25;-25;352;343;9
2019;57110008;Sennestadt;1037;905;132;1522;1441;81;0;7;4;24;-8;11;9;28;0;6;213;252;316;-64
2019;57110009;Senne;709;744;-35;1225;1144;81;14;-11;10;-4;21;-2;34;25;-6;0;46;199;202;-3
2020;57110000;Mitte;7291;7190;101;7247;8254;-1007;0;-186;-27;-109;-77;-156;-142;-260;-25;-25;-906;864;752;112
2020;57110001;Schildesche;2165;2083;82;3040;3176;-136;186;0;-10;-15;-72;-179;-27;-31;5;7;-54;412;562;-150
2020;57110002;Gadderbaum;507;473;34;797;829;-32;27;10;0;-19;-23;-2;1;-4;-18;-4;2;84;156;-72
2020;57110003;Brackwede;1746;1920;-174;2627;2595;32;109;15;19;0;14;-13;-21;-52;-59;20;-142;462;456;6
2020;57110004;Dornberg;775;881;-106;1215;1079;136;77;72;23;-14;0;-44;-4;22;1;3;30;141;211;-70
2020;57110005;Jöllenbeck;746;725;21;1561;1091;470;156;179;2;13;44;0;33;26;3;14;491;239;247;-8
2020;57110006;Heepen;1398;1648;-250;2981;2916;65;142;27;-1;21;4;-33;0;-41;-35;-19;-185;486;482;4
2020;57110007;Stieghorst;1125;1206;-81;2331;1997;334;260;31;4;52;-22;-26;41;0;-12;6;253;339;390;-51
2020;57110008;Sennestadt;925;894;31;1265;1116;149;25;-5;18;59;-1;-3;35;12;0;9;180;237;293;-56
2020;57110009;Senne;725;763;-38;1186;1197;-11;25;-7;4;-20;-3;-14;19;-6;-9;0;-49;205;225;-20
2021;57110000;Mitte;9230;8646;584;6975;7904;-929;0;-240;-31;-39;-43;-64;-309;-166;-5;-32;-345;928;764;164
2021;57110001;Schildesche;2362;2239;123;3150;3033;117;240;0;-1;-44;-38;-57;-4;44;-6;-17;240;425;559;-134
2021;57110002;Gadderbaum;468;422;46;862;901;-39;31;1;0;-21;9;-9;-16;-11;2;-25;7;89;148;-59
2021;57110003;Brackwede;2227;2004;223;2608;2556;52;39;44;21;0;2;-4;3;-3;-38;-12;275;413;515;-102
2021;57110004;Dornberg;854;803;51;1011;952;59;43;38;-9;-2;0;-20;-17;7;1;18;110;171;189;-18
2021;57110005;Jöllenbeck;749;740;9;1273;1037;236;64;57;9;4;20;0;58;17;-1;8;245;225;228;-3
2021;57110006;Heepen;1427;1665;-238;3029;2813;216;309;4;16;-3;17;-58;0;3;-35;-37;-22;502;514;-12
2021;57110007;Stieghorst;1155;1222;-67;1893;1803;90;166;-44;11;3;-7;-17;-3;0;-1;-18;23;335;377;-42
2021;57110008;Sennestadt;1085;955;130;1312;1221;91;5;6;-2;38;-1;1;35;1;0;8;221;233;325;-92
2021;57110009;Senne;736;772;-36;1181;1074;107;32;17;25;12;-18;-8;37;18;-8;0;71;218;228;-10
2022;57110000;Mitte;10914;10004;910;7544;6987;557;0;-194;-11;-70;-38;-55;1079;-145;-6;-3;1467;761;790;-29
2022;57110001;Schildesche;2428;2085;343;2644;2676;-32;194;0;0;-44;-32;-107;-24;-13;-1;-5;311;364;555;-191
2022;57110002;Gadderbaum;732;395;337;757;806;-49;11;0;0;-16;-16;-10;-14;8;-13;1;288;86;135;-49
2022;57110003;Brackwede;2538;2073;465;2358;2338;20;70;44;16;0;5;-6;-32;-4;-39;-34;485;425;560;-135
2022;57110004;Dornberg;1190;786;404;1102;1057;45;38;32;16;-5;0;-33;-1;7;0;-9;449;141;193;-52
2022;57110005;Jöllenbeck;819;795;24;1157;918;239;55;107;10;6;33;0;12;15;1;0;263;209;234;-25
2022;57110006;Heepen;3328;1660;1668;2727;3778;-1051;-1079;24;14;32;1;-12;0;-3;-2;-26;617;457;546;-89
2022;57110007;Stieghorst;1800;1255;545;2020;1929;91;145;13;-8;4;-7;-15;3;0;-18;-26;636;333;412;-79
2022;57110008;Sennestadt;1335;992;343;1331;1248;83;6;1;13;39;0;-1;2;18;0;5;426;206;324;-118
2022;57110009;Senne;904;761;143;993;896;97;3;5;-1;34;9;0;26;26;-5;0;240;183;226;-43
2023;57110000;Mitte;15096;14334;762;6604;7171;-567;0;-122;45;-34;-56;-7;-164;-150;-35;-44;195;807;781;26
2023;57110001;Schildesche;2414;2180;234;2875;2849;26;122;0;30;-16;-54;-49;-2;3;-4;-4;260;361;519;-158
2023;57110002;Gadderbaum;493;427;66;678;867;-189;-45;-30;0;-53;-8;-16;-12;-4;4;-25;-123;63;174;-111
2023;57110003;Brackwede;2141;2229;-88;2397;2376;21;34;16;53;0;8;-5;-11;-9;-41;-24;-67;359;504;-145
2023;57110004;Dornberg;1013;809;204;1065;977;88;56;54;8;-8;0;-8;-12;2;-6;2;292;131;210;-79
2023;57110005;Jöllenbeck;713;774;-61;1038;955;83;7;49;16;5;8;0;4;8;-9;-5;22;202;237;-35
2023;57110006;Heepen;1795;1643;152;2643;2498;145;164;2;12;11;12;-4;0;17;-32;-37;297;454;515;-61
2023;57110007;Stieghorst;1239;1214;25;1893;1774;119;150;-3;4;9;-2;-8;-17;0;-6;-8;144;331;403;-72
2023;57110008;Sennestadt;936;997;-61;1214;1069;145;35;4;-4;41;6;9;32;6;0;16;84;190;330;-140
2023;57110009;Senne;773;778;-5;1171;1042;129;44;4;25;24;-2;5;37;8;-16;0;124;169;255;-86
